contact_id,cohort,applicant_status,children,computer_availability,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,ethnicity_simplified,month,weekday
538,2022 Fall - SLCC,Assigned Cohort,0.0,Laptop (PC),Employed full-time (35 hrs+),$25K-$35K,Domestic Partnership,$75k - $100k,Some College No Degree,,,White,2021-12-14 22:53:00,2021,White,12,1
539,2022 Fall - SLCC,Assigned Cohort,4.0,Laptop (Mac),"No, currently not employed outside the home",I do not currently work outside the home.,Domestic Partnership,$75k - $100k,Associates Degree,,,"Hispanic or Latina,American Indian or Alaska Native",2021-12-15 10:34:00,2021,Other,12,2
540,Dead Lead,Non-responsive,2.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Married,$150k - $200k,Associates Degree,checked,,White,2021-12-16 13:24:00,2021,White,12,3
541,2022 Fall - SLCC,Assigned Cohort,4.0,Laptop (Mac),Employed part-time (under 20 hrs),<$15K,Married,$100k - $150k,Associates Degree,,,White,2021-12-16 17:26:00,2021,White,12,3
543,2022 Fall - SLCC,Assigned Cohort,1.0,Laptop (PC),Employed almost full-time (up to 35 hrs),$35K-$50K,Married,$75k - $100k,Bachelor's Degree,,,White,2021-12-20 11:45:00,2021,White,12,0
544,2022 Fall - SLCC,Assigned Cohort,2.0,Laptop (PC),Employed full-time (35 hrs+),$75K-$100K,Married,$100k - $150k,Graduate or Professional Degree,,,White,2021-12-20 14:37:00,2021,White,12,0
545,Level 2 - Advanced Applicant,Assigned Cohort,4.0,Laptop (PC),Employed full-time (35 hrs+),$50K-$75K,Married,$100k - $150k,Graduate or Professional Degree,,,White,2021-12-20 22:26:00,2021,White,12,0
546,Dead Lead,Non-responsive,2.0,I do not own a laptop,Employed almost full-time (up to 35 hrs),<$15K,Married,<$15k,High School Diploma,,,Hispanic or Latina,2021-12-22 14:36:00,2021,Hispanic or Latina,12,2
547,2022 Fall - SLCC,Assigned Cohort,4.0,I do not own a laptop,Employed part-time (under 20 hrs),<$15K,Separated,$50k - $75k,High School Diploma,,,White,2021-12-23 11:06:00,2021,White,12,3
548,2022 Spring - Lehi,Assigned Cohort,2.0,Laptop (Mac),Employed almost full-time (up to 35 hrs),$15K-$25K,Married,$75k - $100k,High School Diploma,,,White,2021-12-23 11:54:00,2021,White,12,3
549,2022 Spring - Lehi,Assigned Cohort,5.0,I do not own a laptop,"No, currently not employed outside the home",I do not currently work outside the home.,Separated,<$15k,High School Diploma,,,American Indian or Alaska Native,2021-12-23 14:22:00,2021,American Indian or Alaska Native,12,3
550,Dead Lead,Dead lead,2.0,I do not own a laptop,Employed full-time (35 hrs+),$15K-$25K,Married,$25k - $35k,Some College No Degree,checked,,Hispanic or Latina,2021-12-23 19:57:00,2021,Hispanic or Latina,12,3
551,Dead Lead,Non-responsive,2.0,I do not own a laptop,Employed full-time (35 hrs+),$25K-$35K,Divorced,$25k - $35k,Some College No Degree,,,Hispanic or Latina,2021-12-27 17:01:00,2021,Hispanic or Latina,12,0
552,2022 Spring - Lehi,Assigned Cohort,4.0,Laptop (PC),Employed part-time (under 20 hrs),$15K-$25K,Married,$75k - $100k,Bachelor's Degree,,,White,2021-12-28 22:07:00,2021,White,12,1
