contact_id,cohort,applicant_status,children,employment_status,salary_range,relationship_and_marital_status,household_income,education_level,lgbtqi_identity,veteran_status,race_ethnicity,create_date,year,month,weekday,day,has_computer,accepted,quarter,is_weekend,computer_availability_I do not own a laptop,computer_availability_Laptop (Mac),computer_availability_Laptop (PC),computer_availability_Not Specified,employment_simplified_Full-time,employment_simplified_Not Employed,employment_simplified_Not Specified,employment_simplified_Part-time,education_category_Advanced Degree,education_category_Bachelor,education_category_High School,education_category_Some College,income_band_Other,race_simplified_Asian,race_simplified_Black/African American,race_simplified_Hispanic/Latino,race_simplified_Multiracial/Other,race_simplified_Native American/Pacific Islander,race_simplified_White only,children_category_No Children,children_category_One Child,children_category_2-3 Children,children_category_4+ Children,"ethnicity_simplified_""Some other race, ethnicity, or origin""",ethnicity_simplified_American Indian or Alaska Native,"ethnicity_simplified_American Indian or Alaska Native,White",ethnicity_simplified_Asian,ethnicity_simplified_Black or African American,ethnicity_simplified_Hispanic or Latina,"ethnicity_simplified_Hispanic or Latina,White",ethnicity_simplified_Native Hawaiian or Other Pacific Islander,ethnicity_simplified_Other,ethnicity_simplified_White,ethnicity_simplified_Would prefer not to answer
50,2020 Fall - Ogden,Assigned Cohort,4.0,Not Specified,I do not currently work outside the home.,Married,$50k - $75k,Some College No Degree,Not Specified,Not Specified,Would prefer not to answer,2021-01-10 10:41:00,2021,1,6,10,1,1,1,1,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
51,Dead Lead,Dead lead,1.0,Employed almost full-time (up to 35 hrs),$75K-$100K,Single,$50k - $75k,High School Diploma,Not Specified,Not Specified,"""Some other race, ethnicity, or origin""",2021-01-10 11:02:00,2021,1,6,10,0,0,1,1,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
52,2020 Fall - Ogden,Assigned Cohort,1.0,Employed full-time (35 hrs+),$35K-$50K,Single,$35k - $50k,Some College No Degree,Not Specified,Not Specified,Hispanic or Latina,2021-01-10 11:14:00,2021,1,6,10,1,1,1,1,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
53,Dead Lead,Dead lead,2.0,Employed full-time (35 hrs+),$25K-$35K,Single,$25k - $35k,Some College No Degree,Not Specified,Not Specified,Hispanic or Latina,2021-01-10 11:18:00,2021,1,6,10,1,0,1,1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
54,2020 Fall - Ogden,Assigned Cohort,2.0,Employed part-time (under 20 hrs),<$15K,Married,$150k - $200k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-10 13:08:00,2021,1,6,10,1,1,1,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
55,Dead Lead,Declined Attending,4.0,Employed part-time (under 20 hrs),<$15K,Separated,$100k - $150k,Bachelor's Degree,Not Specified,Not Specified,White,2021-01-10 14:38:00,2021,1,6,10,1,0,1,1,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
56,2020 Fall - Ogden,Assigned Cohort,2.0,Employed full-time (35 hrs+),$35K-$50K,Separated,$35k - $50k,Some College No Degree,Not Specified,Not Specified,White,2021-01-11 00:49:00,2021,1,0,11,1,1,1,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
57,Dead Lead,Dead lead,2.0,Employed full-time (35 hrs+),$50K-$75K,Single,$50k - $75k,High School Diploma,Not Specified,Not Specified,Would prefer not to answer,2021-01-11 05:48:00,2021,1,0,11,1,0,1,0,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
58,Dead Lead,Non-responsive,2.0,Not Specified,I do not currently work outside the home.,Married,$75k - $100k,Bachelor's Degree,Not Specified,Not Specified,Asian,2021-01-11 10:57:00,2021,1,0,11,1,0,1,0,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
59,Dead Lead,Non-responsive,2.0,Not Specified,I do not currently work outside the home.,Married,$50k - $75k,Certificate,Not Specified,Not Specified,American Indian or Alaska Native,2021-01-11 16:06:00,2021,1,0,11,0,0,1,0,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
60,2020 Fall - Ogden,Assigned Cohort,2.0,Employed full-time (35 hrs+),$50K-$75K,Married,$75k - $100k,Graduate or Professional Degree,Not Specified,Not Specified,Native Hawaiian or Other Pacific Islander,2021-01-14 21:15:00,2021,1,3,14,1,1,1,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
61,2020 Fall - Ogden,Assigned Cohort,4.0,Not Specified,Not Specified,Married,$75k - $100k,Certificate,Not Specified,Not Specified,White,2021-01-15 11:00:00,2021,1,4,15,1,1,1,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
62,Dead Lead,Dead lead,3.0,Not Specified,I do not currently work outside the home.,Married,$35k - $50k,Some College No Degree,checked,Not Specified,White,2021-01-15 17:08:00,2021,1,4,15,1,0,1,0,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
63,2020 Fall - Ogden,Assigned Cohort,3.0,Employed almost full-time (up to 35 hrs),$25K-$35K,Married,$25k - $35k,Associates Degree,Not Specified,Not Specified,Hispanic or Latina,2021-01-17 21:32:00,2021,1,6,17,1,1,1,1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
